№ п/п	Инвентарный номер ИП	Дата сделки	Год постройки КС	Количество надземных этажей	Общая площадь помещения, кв.м	Этаж расположения	Количество жилых помещений (комнат), кв.м	Площадь кухни, кв.м	Наличие балкона, лоджии 	Наличие кладовой, гардеробной или других помещений для хранения	Высота потолка	Стеклопакеты в окнонных проемах	Возможность свободной планировки	Горячее водоснабжение	Санузлы	Отопление	Кондиционирование и вентиляция	Общее состояние здания/помещения	Элементы ландшафтного дизайна	Спортивная площадка	Огороженная территория	Количество парковочных мест для автомобилей	Собственная служба эксплуатации, управляющая компания	Консъерж/внутреннее видеонаблюдение	Подземный крытый паркинг (количество мест на парковке, шт.)	Наименование материала стен	"Наименование ""Виды конструкций"""	Территория	Доступность центра	Расстояние от СНП до центра притяжения	Цена, USD/кв.м	Цена за весь объект, USD	Маркер релевантности (1-релевантно, 0-нерелевантно)	номер оценочной зоны	СЗЗ	Пешеходная доступность рекреационой зоны	Маркер релевантности после усреднения	Стоимость Ани на дату сделки
87	123/D-13871	17.03.2010	1967	2	57.2	1	3	5.6	Нет	2 и более	до 2.7	Нет	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	406.43	23247.98	0	кобрин1_жм	1	1	0	
88	123/D-1391	26.06.2014	1973	5	33.4	1	1	6.99	Нет	2 и более	до 2.7	Нет	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.97	24548.09	1	кобрин1_жм	1	1	1	583.87
89	123/D-1398	15.03.2010	1973	5	32.9	4	1	6.8	Нет	2 и более	до 2.7	Нет	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	608.93	20033.78	0	кобрин1_жм	1	1	0	
90	123/D-1398	25.02.2015	1973	5	32.9	4	1	6.8	Нет	2 и более	до 2.7	Нет	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	811.08	26684.46	1	кобрин1_жм	1	1	1	613.06
91	123/D-14012	01.11.2014	1996	5	66.8	3	3	7.2	1	1	до 2.7	Да	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	739.01	49365.67	0	кобрин1_жм	1	1	0	607.36
92	123/D-14069	17.02.2012	1900	2	43.8	2	2	9.1	1	Нет	до 2.7	Нет	Нет	Автономное	1	Автономное		Удовлетворительное	Нет		Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	409.16	17921.15	1	кобрин1_жм	1	1	1	521.70
93	123/D-14135	03.06.2013	2009	5	56.5	3	2	9.6	1	1	до 2.7	Да	Нет	Централизованное	1	Централизованное		Отличное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	526.09	29723.82	1	кобрин1_жм	0	1	1	626.25
94	123/D-14137	20.11.2014	1991	5	63.4	1	3	7.1	2 и более	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	678.23	43000.00	1	кобрин1_жм	0	1	1	572.64
95	123/D-14157	15.10.2010	1985	5	67.3	2	3	9	2 и более	2 и более	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	521.80	35117.06	0	кобрин1_жм	1	1	0	
96	123/D-14178	14.12.2012	1958	2	41	2	2	10.8	Нет	Нет	2.7 - 3	Да	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	свыше 10 до 20 включительно	0	518.90	21274.74	1	кобрин1_жм	1	1	1	570.68
97	123/D-14272	30.12.2010	1982	5	54.5	1	2	8.8	1	2 и более	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	458.72	25000.00	0	кобрин1_жм	1	1	0	
98	123/D-143	04.10.2013	1988	5	37.4	3	1	7.4	Нет	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	587.65	21978.02	1	кобрин1_жм	1	1	1	598.06
99	123/D-1430	29.10.2011	1973	5	59.6	2	3	6.78	2 и более	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Хорошее	Нет	Нет	Нет	10				Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	470.90	28065.88	0	кобрин1_жм	1	1	0	
100	123/D-1435	12.10.2012	1973	5	49.1	4	2	6.83	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	595.51	29239.77	0	кобрин1_жм	1	1	0	523.50
101	123/D-14353	24.10.2012	1988	5	54.8	1	2	8.8	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	321.65	17626.32	1	кобрин1_жм	0	1	1	503.17
102	123/D-1441	29.10.2014	1997	4	70.3	2	3	9.6	2 и более	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Приточно-вытяжная вентиляция	Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	531.77	37383.18	1	кобрин1_жм	0	1	1	625.39
103	123/D-14509	27.08.2013	1996	5	62.7	2	3	6.9	2 и более	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	626.89	39305.71	0	кобрин1_жм	1	1	0	573.14
104	123/D-1451	09.02.2010	1985	5	55.8	1	2	9.02	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	619.29	34556.25	0	кобрин1_жм	1	1	0	
105	123/D-1458	15.05.2010	1978	5	62.5	3	3	9.1	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	690.30	43143.81	0	кобрин1_жм	1	1	0	
106	123/D-14633	13.06.2014	2010	5	58.3	4	2	11	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Отличное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	675.97	39408.87	1	кобрин1_жм	1	1	1	687.88
107	123/D-147	27.01.2014	1986	5	51.9	5	2	8.6	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	свыше 10 до 20 включительно	0	361.27	18750.00	1	кобрин2_жм	0	0	1	554.42
108	123/D-1476	21.11.2011	1978	5	50.1	5	2	8.8	1	2 и более	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	456.75	22883.30	0	кобрин1_жм	1	1	0	
110	123/D-14891	18.04.2014	1988	5	66	3	3	9.1	2 и более	2 и более	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Приточно-вытяжная вентиляция	Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	380.69	25125.63	1	кобрин1_жм	1	1	1	589.43
111	123/D-14903	19.02.2014	1998	5	53.8	3	2	8.1	2 и более	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	650.56	35000.00	1	кобрин1_жм	1	1	1	642.99
112	123/D-14904	28.10.2014	1985	3	50	3	2	8.1	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	СНП	свыше 40	33612	244.00	12200.00	0	снп0_жм	1	0	0	273.37
113	123/D-1491	17.12.2014	1978	5	55.8	1	2	8.07	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Приточно-вытяжная вентиляция	Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	577.04	32198.71	1	кобрин1_жм	1	1	1	580.15
114	123/D-15	23.07.2010	1996	5	36.7	2	1	7.2	Нет	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	455.65	16722.41	0	кобрин1_жм	1	1	0	
115	123/D-15101	06.05.2014	1988	5	55.1	2	2	8.7	1	2 и более	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	545.01	30030.03	1	кобрин1_жм	0	1	1	615.06
116	123/D-1511	01.06.2013	1987	5	37	4	1	7.27	Нет	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	568.22	21024.17	1	кобрин1_жм	1	1	1	581.44
117	123/D-15124	14.06.2014	1998	5	68.1	3	3	9.1	2 и более	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	462.95	31527.09	1	кобрин1_жм	0	1	1	625.39
118	123/D-15135	18.10.2013	1996	5	62.4	2	3	7.2	2 и более	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	643.82	40174.67	1	кобрин1_жм	1	1	1	587.20
119	123/D-15151	24.01.2014	1961	2	38.8	1	2	5.5	Нет	1	до 2.7	Да	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	510.63	19812.30	1	кобрин1_жм	1	1	1	
120	123/D-15224	27.12.2013	1960	2	33.3	1	2	4.9	Нет	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	569.59	18967.33	1	кобрин1_жм	1	1	1	623.90
121	123/D-1523	22.05.2010	1972	5	34.5	4	1	7	Нет	2 и более	до 2.7	Да	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	705.52	24340.57	0	кобрин1_жм	0	1	0	
122	123/D-15257	01.10.2012	1996	5	49.9	1	2	7.9	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	581.16	29000.00	1	кобрин1_жм	1	1	1	544.65
123	123/D-1528	01.08.2012	1972	5	47.4	2	2	7	1	Нет	до 2.7	Да	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	381.73	18094.09	1	кобрин1_жм	0	1	1	522.14
124	123/D-1528	10.12.2013	1972	5	47.4	2	2	7	1	Нет	до 2.7	Да	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	448.87	21276.60	1	кобрин1_жм	0	1	1	597.81
126	123/D-1532	17.02.2015	1972	5	48.4	3	2	6.7	1	1	до 2.7	Да	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	667.39	32301.48	1	кобрин1_жм	0	1	1	646.45
127	123/D-1545	08.01.2013	1972	5	33	1	1	6.51	Нет	2 и более	до 2.7	Да	Нет	Автономное	1	Централизованное	Естественная вентиляция	Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	421.36	13904.98	1	кобрин1_жм	0	1	1	540.46
128	123/D-15464	26.12.2012	2012	5	61.5	1	2	9.9	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное		Отличное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	563.49	34654.87	0	кобрин1_жм	1	0	0	571.93
129	123/D-15465	21.12.2012	2012	5	54.9	1	2	10	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное		Отличное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	562.83	30899.63	0	кобрин1_жм	1	0	0	583.26
130	123/D-15466	21.12.2012	2012	5	37.3	1	1	10.2	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное		Отличное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	562.83	20993.74	0	кобрин1_жм	1	0	0	586.61
131	123/D-15467	26.12.2012	2012	5	60.3	1	2	11	1	1	до 2.7	Да	Нет	Централизованное	1	Централизованное		Отличное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	563.49	33978.68	0	кобрин1_жм	1	0	0	571.93
132	123/D-15468	27.12.2012	2012	5	61.2	2	2	9.6	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное		Отличное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	563.49	34485.82	0	кобрин1_жм	1	0	0	600.53
133	123/D-15470	21.12.2012	2012	5	36.9	2	1	10.1	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное		Отличное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	562.83	20768.60	0	кобрин1_жм	1	0	0	615.93
134	123/D-15472	22.12.2012	2012	5	61.2	3	2	9.7	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное		Отличное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	563.49	34485.82	0	кобрин1_жм	1	0	0	600.53
